index,database,replication_factor,recordcount,workload,execution,start,end,duration,rpi3_01,rpi3_02,rpi3_03,rpi3_04,rpi3_05,rpi3_06,rpi3_07,rpi3_08,rpi3_09,rpi3_10,rpi3_11,rpi3_12,rpi3_13,rpi3_14,rpi3_15
53,hbase,1,1000000,b,24,10-09-21 21:56:48,10-09-21 22:03:28,400.0,0.0,0.0,18766.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8446.234,10978.813,0.0,0.0,1525.407
54,hbase,1,1000000,b,25,10-09-21 22:14:17,10-09-21 22:18:29,252.0,0.0,0.0,4512.786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7588.379,5346.447,0.0,0.0,445.53
55,hbase,1,1000000,b,26,10-09-21 22:28:37,10-09-21 22:32:01,204.0,0.0,0.0,5368.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3398.809,3695.101,0.0,0.0,819.2
56,hbase,1,1000000,b,27,10-09-21 22:43:24,10-09-21 22:46:52,208.0,0.0,0.0,6656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2867.2,4488.625,0.0,0.0,785.067
57,hbase,1,1000000,b,28,10-09-21 22:56:54,10-09-21 23:00:34,220.0,0.0,16.063,2425.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29635.765,35370.486,0.0,0.0,179308.424
58,hbase,1,1000000,b,29,10-09-21 23:10:17,10-09-21 23:14:02,225.0,1969.231,29270.816,72830.031,16116.185,0.0,0.0,0.0,215544.123,10050.954,0.0,55721.354,7908.349,0.0,67237.415,0.0
59,hbase,1,1000000,b,30,10-09-21 23:24:33,10-09-21 23:28:17,224.0,321.255,28816.565,0.0,19741.114,0.0,0.0,0.0,0.0,9814.337,0.0,27788.549,2794.918,0.0,30244.917,0.0
60,hbase,1,1000000,c,1,10-09-21 16:05:52,10-09-21 16:08:34,162.0,0.0,189.046,0.0,0.0,0.0,0.0,0.0,273.067,1869.456,0.0,0.0,945.231,630.091,0.0,525.128
61,hbase,1,1000000,c,2,10-09-21 16:18:37,10-09-21 16:21:06,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1365.333,0.0,0.0,341.333,523.378,0.0,0.0
62,hbase,1,1000000,c,3,10-09-21 16:32:34,10-09-21 16:35:10,156.0,560.505,3298.293,0.0,0.0,4397.811,0.0,0.0,0.0,5454.147,0.0,0.0,2371.433,819.265,0.0,6726.063
63,hbase,1,1000000,c,4,10-09-21 16:46:09,10-09-21 16:49:12,183.0,5258.121,7601.414,0.0,0.0,56105.674,0.0,0.0,80453.06,19.051,0.0,14536.037,0.0,2209.935,0.0,10154.27
64,hbase,1,1000000,c,5,10-09-21 17:01:28,10-09-21 17:04:43,195.0,49187.617,46961.752,35.617,0.0,71519.722,0.0,54779.548,17.809,25341.774,0.0,72053.983,17.812,53.426,0.0,80174.748
65,hbase,1,1000000,c,6,10-09-21 17:16:07,10-09-21 17:19:07,180.0,36311.516,28652.831,0.0,0.0,41169.563,0.0,30367.553,0.0,17241.302,0.0,37873.712,0.0,0.0,0.0,43760.521
66,hbase,1,1000000,c,7,10-09-21 17:36:50,10-09-21 17:40:59,249.0,5485.714,1623.716,0.0,0.0,3803.429,0.0,2823.314,0.0,1623.771,0.0,3101.257,0.0,0.0,0.0,2706.286
67,hbase,1,1000000,c,8,10-09-21 17:54:26,10-09-21 17:57:08,162.0,3402.831,441.108,0.0,0.0,1995.487,0.0,315.077,0.0,315.077,0.0,3276.8,0.0,0.0,0.0,840.205
68,hbase,1,1000000,c,9,10-09-21 18:08:01,10-09-21 18:10:39,158.0,3190.568,862.363,0.0,0.0,1746.189,0.0,1509.053,0.0,1121.011,0.0,970.105,0.0,0.0,0.0,2414.484
69,hbase,1,1000000,c,10,10-09-21 18:21:17,10-09-21 18:23:57,160.0,630.154,630.154,0.0,0.0,1743.426,0.0,0.0,0.0,294.072,0.0,1848.451,0.0,0.0,0.0,1428.349
