2021-09-19 02:52:27:278 300 sec: 1195 operations; 3 current ops/sec; est completion in 36 minutes [READ: Count=18, Max=6250495, Min=48672, Avg=424296, 90=115455, 99=6250495, 99.9=6250495, 99.99=6250495] [UPDATE: Count=12, Max=205951, Min=90176, Avg=145781.33, 90=199807, 99=205951, 99.9=205951, 99.99=205951] 
2021-09-19 02:52:37:278 310 sec: 1195 operations; 0 current ops/sec; est completion in 38 minutes [READ: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] [UPDATE: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-19 02:52:47:278 320 sec: 1195 operations; 0 current ops/sec; est completion in 39 minutes [READ: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] [UPDATE: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-19 02:52:57:278 330 sec: 1197 operations; 0.2 current ops/sec; est completion in 40 minutes [READ: Count=1, Max=89151, Min=89088, Avg=89120, 90=89151, 99=89151, 99.9=89151, 99.99=89151] [UPDATE: Count=1, Max=23625727, Min=23609344, Avg=23617536, 90=23625727, 99=23625727, 99.9=23625727, 99.99=23625727] 
2021-09-19 02:53:07:278 340 sec: 1222 operations; 2.5 current ops/sec; est completion in 40 minutes [READ: Count=14, Max=182783, Min=47552, Avg=82010.29, 90=115711, 99=182783, 99.9=182783, 99.99=182783] [UPDATE: Count=11, Max=8650751, Min=79936, Avg=913413.82, 90=202623, 99=8650751, 99.9=8650751, 99.99=8650751] 
2021-09-19 02:53:17:278 350 sec: 1270 operations; 4.8 current ops/sec; est completion in 40 minutes [READ: Count=23, Max=8855551, Min=48512, Avg=475558.96, 90=169599, 99=8855551, 99.9=8855551, 99.99=8855551] [UPDATE: Count=25, Max=1438719, Min=85184, Avg=194645.76, 90=206079, 99=1438719, 99.9=1438719, 99.99=1438719] 
2021-09-19 02:53:27:278 360 sec: 1348 operations; 7.8 current ops/sec; est completion in 38 minutes [READ: Count=39, Max=202367, Min=48480, Avg=86340.92, 90=96191, 99=202367, 99.9=202367, 99.99=202367] [UPDATE: Count=39, Max=1647615, Min=77696, Avg=187056.41, 90=200959, 99=1647615, 99.9=1647615, 99.99=1647615] 
2021-09-19 02:53:37:278 370 sec: 1363 operations; 1.5 current ops/sec; est completion in 39 minutes [READ: Count=5, Max=88255, Min=48640, Avg=70579.2, 90=88255, 99=88255, 99.9=88255, 99.99=88255] [UPDATE: Count=10, Max=199167, Min=108480, Avg=156704, 90=197503, 99=199167, 99.9=199167, 99.99=199167] 
2021-09-19 02:53:47:278 380 sec: 1404 operations; 4.1 current ops/sec; est completion in 38 minutes [READ: Count=19, Max=190079, Min=47296, Avg=80702.32, 90=91519, 99=190079, 99.9=190079, 99.99=190079] [UPDATE: Count=22, Max=9035775, Min=88832, Avg=749969.45, 90=208511, 99=9035775, 99.9=9035775, 99.99=9035775] 
2021-09-19 02:53:57:278 390 sec: 1471 operations; 6.7 current ops/sec; est completion in 37 minutes [READ: Count=38, Max=173695, Min=48960, Avg=86064, 90=110463, 99=173695, 99.9=173695, 99.99=173695] [UPDATE: Count=29, Max=207231, Min=89344, Avg=162511.45, 90=199423, 99=207231, 99.9=207231, 99.99=207231] 
2021-09-19 02:54:07:278 400 sec: 1471 operations; 0 current ops/sec; est completion in 38 minutes [READ: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] [UPDATE: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-19 02:54:17:278 410 sec: 1506 operations; 3.5 current ops/sec; est completion in 38 minutes [READ: Count=22, Max=18268159, Min=49024, Avg=911095.27, 90=107647, 99=18268159, 99.9=18268159, 99.99=18268159] [UPDATE: Count=13, Max=209791, Min=88128, Avg=152162.46, 90=207487, 99=209791, 99.9=209791, 99.99=209791] 
2021-09-19 02:54:27:278 420 sec: 1554 operations; 4.8 current ops/sec; est completion in 38 minutes [READ: Count=26, Max=199167, Min=48576, Avg=83886.15, 90=99455, 99=199167, 99.9=199167, 99.99=199167] [UPDATE: Count=22, Max=3373055, Min=88064, Avg=352292.36, 90=197247, 99=3373055, 99.9=3373055, 99.99=3373055] 
2021-09-19 02:54:37:278 430 sec: 1608 operations; 5.4 current ops/sec; est completion in 37 minutes [READ: Count=26, Max=193023, Min=49408, Avg=91347.08, 90=115903, 99=193023, 99.9=193023, 99.99=193023] [UPDATE: Count=28, Max=203263, Min=78848, Avg=131899.43, 90=191359, 99=203263, 99.9=203263, 99.99=203263] 
2021-09-19 02:54:47:279 440 sec: 1611 operations; 0.3 current ops/sec; est completion in 38 minutes [READ: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] [UPDATE: Count=3, Max=13795327, Min=93504, Avg=4665152, 90=13795327, 99=13795327, 99.9=13795327, 99.99=13795327] 
2021-09-19 02:54:57:278 450 sec: 1644 operations; 3.3 current ops/sec; est completion in 38 minutes [READ: Count=18, Max=195711, Min=47200, Avg=77447.11, 90=89087, 99=195711, 99.9=195711, 99.99=195711] [UPDATE: Count=15, Max=200319, Min=85056, Avg=131581.87, 90=195327, 99=200319, 99.9=200319, 99.99=200319] 
2021-09-19 02:55:07:278 460 sec: 1676 operations; 3.2 current ops/sec; est completion in 38 minutes [READ: Count=19, Max=155263, Min=49088, Avg=84464, 90=113023, 99=155263, 99.9=155263, 99.99=155263] [UPDATE: Count=13, Max=13336575, Min=51424, Avg=1157369.85, 90=206335, 99=13336575, 99.9=13336575, 99.99=13336575] 
2021-09-19 02:55:17:278 470 sec: 1749 operations; 7.3 current ops/sec; est completion in 36 minutes [READ: Count=38, Max=190975, Min=49408, Avg=95916.21, 90=159871, 99=190975, 99.9=190975, 99.99=190975] [UPDATE: Count=35, Max=1340415, Min=64768, Avg=180269.26, 90=203903, 99=1340415, 99.9=1340415, 99.99=1340415] 
2021-09-19 02:55:27:278 480 sec: 1825 operations; 7.6 current ops/sec; est completion in 35 minutes [READ: Count=47, Max=194815, Min=49472, Avg=88903.83, 90=148991, 99=194815, 99.9=194815, 99.99=194815] [UPDATE: Count=29, Max=2045951, Min=80192, Avg=202616.28, 90=201215, 99=2045951, 99.9=2045951, 99.99=2045951] 
2021-09-19 02:55:37:278 490 sec: 1908 operations; 8.3 current ops/sec; est completion in 34 minutes [READ: Count=44, Max=183679, Min=47968, Avg=82539.64, 90=98175, 99=183679, 99.9=183679, 99.99=183679] [UPDATE: Count=39, Max=205567, Min=82432, Avg=153810.87, 90=198527, 99=205567, 99.9=205567, 99.99=205567] 
2021-09-19 02:55:47:278 500 sec: 1946 operations; 3.8 current ops/sec; est completion in 34 minutes [READ: Count=17, Max=134271, Min=48992, Avg=87008, 90=106047, 99=134271, 99.9=134271, 99.99=134271] [UPDATE: Count=21, Max=4653055, Min=49856, Avg=420432, 90=214527, 99=4653055, 99.9=4653055, 99.99=4653055] 
2021-09-19 02:55:57:278 510 sec: 1978 operations; 3.2 current ops/sec; est completion in 34 minutes [READ: Count=16, Max=97663, Min=48032, Avg=63719, 90=90303, 99=97663, 99.9=97663, 99.99=97663] [UPDATE: Count=16, Max=6807551, Min=87424, Avg=564664, 90=207231, 99=6807551, 99.9=6807551, 99.99=6807551] 
2021-09-19 02:56:07:278 520 sec: 2011 operations; 3.3 current ops/sec; est completion in 34 minutes [READ: Count=21, Max=195711, Min=50528, Avg=105683.05, 90=186239, 99=195711, 99.9=195711, 99.99=195711] [UPDATE: Count=12, Max=5935103, Min=119232, Avg=636946.67, 90=200959, 99=5935103, 99.9=5935103, 99.99=5935103] 
2021-09-19 02:56:17:278 530 sec: 2064 operations; 5.3 current ops/sec; est completion in 33 minutes [READ: Count=29, Max=192127, Min=49440, Avg=105996.69, 90=162431, 99=192127, 99.9=192127, 99.99=192127] [UPDATE: Count=24, Max=3348479, Min=79296, Avg=293886.67, 90=199679, 99=3348479, 99.9=3348479, 99.99=3348479] 
2021-09-19 02:56:27:278 540 sec: 2094 operations; 3 current ops/sec; est completion in 33 minutes [READ: Count=13, Max=192255, Min=48512, Avg=108641.23, 90=182527, 99=192255, 99.9=192255, 99.99=192255] [UPDATE: Count=17, Max=6430719, Min=89600, Avg=501071.06, 90=167551, 99=6430719, 99.9=6430719, 99.99=6430719] 
2021-09-19 02:56:37:278 550 sec: 2187 operations; 9.3 current ops/sec; est completion in 32 minutes [READ: Count=54, Max=191743, Min=47040, Avg=81230.52, 90=107903, 99=154879, 99.9=191743, 99.99=191743] [UPDATE: Count=39, Max=203775, Min=79808, Avg=137517.95, 90=200063, 99=203775, 99.9=203775, 99.99=203775] 
2021-09-19 02:56:47:278 560 sec: 2207 operations; 2 current ops/sec; est completion in 32 minutes [READ: Count=9, Max=138879, Min=49824, Avg=80586.67, 90=127295, 99=138879, 99.9=138879, 99.99=138879] [UPDATE: Count=11, Max=8105983, Min=89600, Avg=867534.55, 90=196991, 99=8105983, 99.9=8105983, 99.99=8105983] 
2021-09-19 02:56:57:278 570 sec: 2219 operations; 1.2 current ops/sec; est completion in 33 minutes [READ: Count=3, Max=178687, Min=70208, Avg=124096, 90=178687, 99=178687, 99.9=178687, 99.99=178687] [UPDATE: Count=9, Max=3194879, Min=93888, Avg=493130.67, 90=201599, 99=3194879, 99.9=3194879, 99.99=3194879] 
2021-09-19 02:57:07:278 580 sec: 2239 operations; 2 current ops/sec; est completion in 33 minutes [READ: Count=11, Max=113343, Min=48608, Avg=89957.82, 90=111743, 99=113343, 99.9=113343, 99.99=113343] [UPDATE: Count=9, Max=12820479, Min=98560, Avg=1572917.33, 90=195967, 99=12820479, 99.9=12820479, 99.99=12820479] 
2021-09-19 02:57:17:278 590 sec: 2308 operations; 6.9 current ops/sec; est completion in 32 minutes [READ: Count=32, Max=142975, Min=48512, Avg=76929, 90=97151, 99=142975, 99.9=142975, 99.99=142975] [UPDATE: Count=37, Max=2473983, Min=77504, Avg=205397.62, 90=194175, 99=2473983, 99.9=2473983, 99.99=2473983] 
2021-09-19 02:57:27:278 600 sec: 2364 operations; 5.6 current ops/sec; est completion in 32 minutes [READ: Count=26, Max=197375, Min=47040, Avg=83770.46, 90=89343, 99=197375, 99.9=197375, 99.99=197375] [UPDATE: Count=30, Max=212607, Min=80768, Avg=156595.2, 90=202111, 99=212607, 99.9=212607, 99.99=212607] 
2021-09-19 02:57:37:278 610 sec: 2366 operations; 0.2 current ops/sec; est completion in 32 minutes [READ: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] [UPDATE: Count=2, Max=7634943, Min=119232, Avg=3876080, 90=7634943, 99=7634943, 99.9=7634943, 99.99=7634943] 
2021-09-19 02:57:47:278 620 sec: 2436 operations; 7 current ops/sec; est completion in 32 minutes [READ: Count=33, Max=6463487, Min=48320, Avg=276227.39, 90=91199, 99=6463487, 99.9=6463487, 99.99=6463487] [UPDATE: Count=37, Max=202495, Min=75008, Avg=141239.35, 90=196223, 99=202495, 99.9=202495, 99.99=202495] 
2021-09-19 02:57:57:278 630 sec: 2456 operations; 2 current ops/sec; est completion in 32 minutes [READ: Count=11, Max=136575, Min=49056, Avg=72923.64, 90=92735, 99=136575, 99.9=136575, 99.99=136575] [UPDATE: Count=9, Max=9027583, Min=49824, Avg=1123973.33, 90=204543, 99=9027583, 99.9=9027583, 99.99=9027583] 
2021-09-19 02:58:07:278 640 sec: 2548 operations; 9.2 current ops/sec; est completion in 31 minutes [READ: Count=46, Max=193535, Min=47296, Avg=82801.39, 90=106175, 99=193535, 99.9=193535, 99.99=193535] [UPDATE: Count=46, Max=224127, Min=48096, Avg=136921.04, 90=191871, 99=224127, 99.9=224127, 99.99=224127] 
2021-09-19 02:58:17:278 650 sec: 2596 operations; 4.8 current ops/sec; est completion in 30 minutes [READ: Count=19, Max=172543, Min=49280, Avg=81942.74, 90=91135, 99=172543, 99.9=172543, 99.99=172543] [UPDATE: Count=29, Max=3508223, Min=85888, Avg=274863.45, 90=204159, 99=3508223, 99.9=3508223, 99.99=3508223] 
2021-09-19 02:58:27:278 660 sec: 2610 operations; 1.4 current ops/sec; est completion in 31 minutes [READ: Count=6, Max=95999, Min=66240, Avg=81546.67, 90=88511, 99=95999, 99.9=95999, 99.99=95999] [UPDATE: Count=8, Max=5349375, Min=130048, Avg=817220, 90=199039, 99=5349375, 99.9=5349375, 99.99=5349375] 
2021-09-19 02:58:37:278 670 sec: 2640 operations; 3 current ops/sec; est completion in 31 minutes [READ: Count=14, Max=110463, Min=55136, Avg=89985.14, 90=105087, 99=110463, 99.9=110463, 99.99=110463] [UPDATE: Count=16, Max=4603903, Min=85120, Avg=755206, 90=2390015, 99=4603903, 99.9=4603903, 99.99=4603903] 
2021-09-19 02:58:47:278 680 sec: 2699 operations; 5.9 current ops/sec; est completion in 30 minutes [READ: Count=30, Max=2410495, Min=49760, Avg=161807.47, 90=141055, 99=2410495, 99.9=2410495, 99.99=2410495] [UPDATE: Count=29, Max=741375, Min=51584, Avg=167172.97, 90=204031, 99=741375, 99.9=741375, 99.99=741375] 
2021-09-19 02:58:57:278 690 sec: 2733 operations; 3.4 current ops/sec; est completion in 30 minutes [READ: Count=17, Max=5472255, Min=48736, Avg=397205.65, 90=94911, 99=5472255, 99.9=5472255, 99.99=5472255] [UPDATE: Count=17, Max=1508351, Min=77568, Avg=213652.71, 90=187519, 99=1508351, 99.9=1508351, 99.99=1508351] 
