2021-09-14 23:50:21:437 290 sec: 62999 operations; 0 current ops/sec; est completion in 1 hour 11 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:50:31:437 300 sec: 62999 operations; 0 current ops/sec; est completion in 1 hour 14 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:50:41:437 310 sec: 62999 operations; 0 current ops/sec; est completion in 1 hour 16 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:50:51:437 320 sec: 69999 operations; 700 current ops/sec; est completion in 1 hour 10 minutes [INSERT: Count=7000, Max=46366719, Min=5, Avg=6629.16, 90=6, 99=23, 99.9=36, 99.99=8327] 
2021-09-14 23:51:01:437 330 sec: 69999 operations; 0 current ops/sec; est completion in 1 hour 13 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:51:11:437 340 sec: 69999 operations; 0 current ops/sec; est completion in 1 hour 15 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:51:21:437 350 sec: 76999 operations; 700 current ops/sec; est completion in 1 hour 9 minutes [INSERT: Count=7000, Max=29294591, Min=5, Avg=4191.46, 90=9, 99=9, 99.9=16, 99.99=12087] 
2021-09-14 23:51:31:437 360 sec: 76999 operations; 0 current ops/sec; est completion in 1 hour 11 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:51:41:437 370 sec: 76999 operations; 0 current ops/sec; est completion in 1 hour 13 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:51:51:437 380 sec: 76999 operations; 0 current ops/sec; est completion in 1 hour 15 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:52:01:437 390 sec: 76999 operations; 0 current ops/sec; est completion in 1 hour 17 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:52:11:437 400 sec: 76999 operations; 0 current ops/sec; est completion in 1 hour 19 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:52:21:437 410 sec: 83999 operations; 699.93 current ops/sec; est completion in 1 hour 14 minutes [INSERT: Count=7000, Max=62324735, Min=5, Avg=8909.75, 90=9, 99=11, 99.9=26, 99.99=8319] 
2021-09-14 23:52:31:437 420 sec: 83999 operations; 0 current ops/sec; est completion in 1 hour 16 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:52:41:437 430 sec: 83999 operations; 0 current ops/sec; est completion in 1 hour 18 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:52:51:437 440 sec: 83999 operations; 0 current ops/sec; est completion in 1 hour 19 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:53:01:437 450 sec: 83999 operations; 0 current ops/sec; est completion in 1 hour 21 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:53:11:437 460 sec: 90999 operations; 700 current ops/sec; est completion in 1 hour 16 minutes [INSERT: Count=7000, Max=46825471, Min=5, Avg=6696.31, 90=7, 99=23, 99.9=37, 99.99=12575] 
2021-09-14 23:53:21:437 470 sec: 90999 operations; 0 current ops/sec; est completion in 1 hour 18 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:53:31:437 480 sec: 90999 operations; 0 current ops/sec; est completion in 1 hour 19 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:53:41:437 490 sec: 90999 operations; 0 current ops/sec; est completion in 1 hour 21 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:53:51:437 500 sec: 90999 operations; 0 current ops/sec; est completion in 1 hour 23 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:54:01:437 510 sec: 97999 operations; 699.93 current ops/sec; est completion in 1 hour 18 minutes [INSERT: Count=7000, Max=45383679, Min=5, Avg=6489.91, 90=7, 99=23, 99.9=46, 99.99=9351] 
2021-09-14 23:54:11:437 520 sec: 97999 operations; 0 current ops/sec; est completion in 1 hour 19 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:54:21:437 530 sec: 97999 operations; 0 current ops/sec; est completion in 1 hour 21 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:54:31:437 540 sec: 104999 operations; 700 current ops/sec; est completion in 1 hour 16 minutes [INSERT: Count=7000, Max=36012031, Min=5, Avg=5151.04, 90=7, 99=23, 99.9=24, 99.99=19903] 
2021-09-14 23:54:41:437 550 sec: 104999 operations; 0 current ops/sec; est completion in 1 hour 18 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:54:51:437 560 sec: 104999 operations; 0 current ops/sec; est completion in 1 hour 19 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:55:01:437 570 sec: 111999 operations; 700 current ops/sec; est completion in 1 hour 15 minutes [INSERT: Count=7000, Max=27295743, Min=5, Avg=3909.72, 90=7, 99=23, 99.9=57, 99.99=11279] 
2021-09-14 23:55:11:437 580 sec: 111999 operations; 0 current ops/sec; est completion in 1 hour 16 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:55:21:437 590 sec: 111999 operations; 0 current ops/sec; est completion in 1 hour 17 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:55:31:437 600 sec: 111999 operations; 0 current ops/sec; est completion in 1 hour 19 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:55:41:437 610 sec: 118999 operations; 700 current ops/sec; est completion in 1 hour 15 minutes [INSERT: Count=7000, Max=38567935, Min=5, Avg=5516.86, 90=10, 99=24, 99.9=58, 99.99=10551] 
2021-09-14 23:55:51:437 620 sec: 118999 operations; 0 current ops/sec; est completion in 1 hour 16 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:56:01:437 630 sec: 118999 operations; 0 current ops/sec; est completion in 1 hour 17 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:56:11:437 640 sec: 125999 operations; 700.07 current ops/sec; est completion in 1 hour 14 minutes [INSERT: Count=7000, Max=33914879, Min=5, Avg=4850.86, 90=6, 99=23, 99.9=38, 99.99=13943] 
2021-09-14 23:56:21:437 650 sec: 125999 operations; 0 current ops/sec; est completion in 1 hour 15 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:56:31:438 660 sec: 125999 operations; 0 current ops/sec; est completion in 1 hour 16 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:56:41:437 670 sec: 125999 operations; 0 current ops/sec; est completion in 1 hour 17 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:56:51:437 680 sec: 125999 operations; 0 current ops/sec; est completion in 1 hour 18 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:57:01:437 690 sec: 132999 operations; 700 current ops/sec; est completion in 1 hour 14 minutes [INSERT: Count=7000, Max=47087615, Min=5, Avg=6731.67, 90=7, 99=23, 99.9=43, 99.99=5451] 
2021-09-14 23:57:11:437 700 sec: 132999 operations; 0 current ops/sec; est completion in 1 hour 16 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:57:21:437 710 sec: 132999 operations; 0 current ops/sec; est completion in 1 hour 17 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:57:31:437 720 sec: 132999 operations; 0 current ops/sec; est completion in 1 hour 18 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:57:41:437 730 sec: 139999 operations; 699.93 current ops/sec; est completion in 1 hour 14 minutes [INSERT: Count=7000, Max=40337407, Min=5, Avg=5769.47, 90=9, 99=23, 99.9=37, 99.99=11263] 
2021-09-14 23:57:51:437 740 sec: 139999 operations; 0 current ops/sec; est completion in 1 hour 15 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
