2021-09-16 06:12:36:856 340 sec: 48999 operations; 0 current ops/sec; est completion in 1 hour 49 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:12:46:856 350 sec: 48999 operations; 0 current ops/sec; est completion in 1 hour 53 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:12:56:856 360 sec: 48999 operations; 0 current ops/sec; est completion in 1 hour 56 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:13:06:856 370 sec: 48999 operations; 0 current ops/sec; est completion in 1 hour 59 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:13:16:856 380 sec: 48999 operations; 0 current ops/sec; est completion in 2 hours 2 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:13:26:856 390 sec: 48999 operations; 0 current ops/sec; est completion in 2 hours 6 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:13:36:856 400 sec: 48999 operations; 0 current ops/sec; est completion in 2 hours 9 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:13:46:856 410 sec: 48999 operations; 0 current ops/sec; est completion in 2 hours 12 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:13:56:856 420 sec: 48999 operations; 0 current ops/sec; est completion in 2 hours 15 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:14:06:856 430 sec: 48999 operations; 0 current ops/sec; est completion in 2 hours 19 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:14:16:856 440 sec: 48999 operations; 0 current ops/sec; est completion in 2 hours 22 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:14:26:856 450 sec: 48999 operations; 0 current ops/sec; est completion in 2 hours 25 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:14:36:856 460 sec: 48999 operations; 0 current ops/sec; est completion in 2 hours 28 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:14:46:856 470 sec: 55999 operations; 700 current ops/sec; est completion in 2 hours 12 minutes [INSERT: Count=7000, Max=166854655, Min=5, Avg=23834.49, 90=8, 99=22, 99.9=37, 99.99=7595] 
2021-09-16 06:14:56:856 480 sec: 55999 operations; 0 current ops/sec; est completion in 2 hours 14 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:15:06:856 490 sec: 55999 operations; 0 current ops/sec; est completion in 2 hours 17 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:15:16:856 500 sec: 55999 operations; 0 current ops/sec; est completion in 2 hours 20 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:15:26:856 510 sec: 55999 operations; 0 current ops/sec; est completion in 2 hours 23 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:15:36:856 520 sec: 62999 operations; 700 current ops/sec; est completion in 2 hours 8 minutes [INSERT: Count=7000, Max=45875199, Min=5, Avg=6557.24, 90=5, 99=22, 99.9=26, 99.99=79] 
2021-09-16 06:15:46:856 530 sec: 62999 operations; 0 current ops/sec; est completion in 2 hours 11 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:15:56:856 540 sec: 62999 operations; 0 current ops/sec; est completion in 2 hours 13 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:16:06:856 550 sec: 62999 operations; 0 current ops/sec; est completion in 2 hours 16 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:16:16:856 560 sec: 62999 operations; 0 current ops/sec; est completion in 2 hours 18 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:16:26:856 570 sec: 62999 operations; 0 current ops/sec; est completion in 2 hours 21 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:16:36:856 580 sec: 69999 operations; 700 current ops/sec; est completion in 2 hours 8 minutes [INSERT: Count=7000, Max=65077247, Min=5, Avg=9300.15, 90=5, 99=22, 99.9=41, 99.99=188] 
2021-09-16 06:16:46:856 590 sec: 69999 operations; 0 current ops/sec; est completion in 2 hours 10 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:16:56:856 600 sec: 69999 operations; 0 current ops/sec; est completion in 2 hours 12 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:17:06:856 610 sec: 69999 operations; 0 current ops/sec; est completion in 2 hours 15 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:17:16:856 620 sec: 69999 operations; 0 current ops/sec; est completion in 2 hours 17 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:17:26:856 630 sec: 69999 operations; 0 current ops/sec; est completion in 2 hours 19 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:17:36:856 640 sec: 76999 operations; 700 current ops/sec; est completion in 2 hours 7 minutes [INSERT: Count=7000, Max=60882943, Min=5, Avg=8702.19, 90=7, 99=22, 99.9=35, 99.99=2539] 
2021-09-16 06:17:46:855 650 sec: 76999 operations; 0 current ops/sec; est completion in 2 hours 9 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:17:56:856 660 sec: 76999 operations; 0 current ops/sec; est completion in 2 hours 11 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
