2021-09-18 10:56:21:268 270 sec: 1403 operations; 4 current ops/sec; est completion in 27 minutes [READ: Count=20, Max=119935, Min=46880, Avg=76651.2, 90=98431, 99=119935, 99.9=119935, 99.99=119935] [UPDATE: Count=20, Max=16064511, Min=48416, Avg=915860, 90=184063, 99=16064511, 99.9=16064511, 99.99=16064511] 
2021-09-18 10:56:31:268 280 sec: 1403 operations; 0 current ops/sec; est completion in 28 minutes [READ: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] [UPDATE: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-18 10:56:41:268 290 sec: 1488 operations; 8.5 current ops/sec; est completion in 27 minutes [READ: Count=41, Max=12894207, Min=47104, Avg=394248.2, 90=142079, 99=12894207, 99.9=12894207, 99.99=12894207] [UPDATE: Count=44, Max=208383, Min=73152, Avg=128083.64, 90=174847, 99=208383, 99.9=208383, 99.99=208383] 
2021-09-18 10:56:51:268 300 sec: 1573 operations; 8.5 current ops/sec; est completion in 26 minutes [READ: Count=50, Max=178943, Min=47296, Avg=83247.04, 90=116799, 99=178943, 99.9=178943, 99.99=178943] [UPDATE: Count=35, Max=663551, Min=81536, Avg=163765.94, 90=194303, 99=663551, 99.9=663551, 99.99=663551] 
2021-09-18 10:57:01:268 310 sec: 1621 operations; 4.8 current ops/sec; est completion in 26 minutes [READ: Count=24, Max=169599, Min=47072, Avg=86706.67, 90=113279, 99=169599, 99.9=169599, 99.99=169599] [UPDATE: Count=24, Max=2859007, Min=53472, Avg=253804.67, 90=191487, 99=2859007, 99.9=2859007, 99.99=2859007] 
2021-09-18 10:57:11:267 320 sec: 1653 operations; 3.2 current ops/sec; est completion in 26 minutes [READ: Count=15, Max=142463, Min=47232, Avg=72713.6, 90=100351, 99=142463, 99.9=142463, 99.99=142463] [UPDATE: Count=17, Max=3231743, Min=50528, Avg=300495.06, 90=162559, 99=3231743, 99.9=3231743, 99.99=3231743] 
2021-09-18 10:57:21:267 330 sec: 1680 operations; 2.7 current ops/sec; est completion in 27 minutes [READ: Count=10, Max=95871, Min=47616, Avg=68212.8, 90=86911, 99=95871, 99.9=95871, 99.99=95871] [UPDATE: Count=17, Max=12738559, Min=81472, Avg=879676.24, 90=198143, 99=12738559, 99.9=12738559, 99.99=12738559] 
2021-09-18 10:57:31:267 340 sec: 1753 operations; 7.3 current ops/sec; est completion in 26 minutes [READ: Count=38, Max=185215, Min=46208, Avg=84945.26, 90=130495, 99=185215, 99.9=185215, 99.99=185215] [UPDATE: Count=35, Max=2213887, Min=85504, Avg=194702.63, 90=188287, 99=2213887, 99.9=2213887, 99.99=2213887] 
2021-09-18 10:57:41:267 350 sec: 1784 operations; 3.1 current ops/sec; est completion in 26 minutes [READ: Count=16, Max=166911, Min=46432, Avg=81381, 90=92863, 99=166911, 99.9=166911, 99.99=166911] [UPDATE: Count=15, Max=191359, Min=58560, Avg=138460.8, 90=183679, 99=191359, 99.9=191359, 99.99=191359] 
2021-09-18 10:57:51:268 360 sec: 1845 operations; 6.1 current ops/sec; est completion in 26 minutes [READ: Count=28, Max=170239, Min=47040, Avg=88165.71, 90=140799, 99=170239, 99.9=170239, 99.99=170239] [UPDATE: Count=33, Max=6905855, Min=76288, Avg=342955.64, 90=185471, 99=6905855, 99.9=6905855, 99.99=6905855] 
2021-09-18 10:58:01:268 370 sec: 1845 operations; 0 current ops/sec; est completion in 27 minutes [READ: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] [UPDATE: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-18 10:58:11:267 380 sec: 1893 operations; 4.8 current ops/sec; est completion in 27 minutes [READ: Count=31, Max=171647, Min=48608, Avg=87737.29, 90=116735, 99=171647, 99.9=171647, 99.99=171647] [UPDATE: Count=17, Max=17760255, Min=86080, Avg=1176048.94, 90=190079, 99=17760255, 99.9=17760255, 99.99=17760255] 
2021-09-18 10:58:21:268 390 sec: 1925 operations; 3.2 current ops/sec; est completion in 27 minutes [READ: Count=19, Max=172799, Min=47328, Avg=95927.58, 90=163967, 99=172799, 99.9=172799, 99.99=172799] [UPDATE: Count=13, Max=193791, Min=87424, Avg=161004.31, 90=192639, 99=193791, 99.9=193791, 99.99=193791] 
2021-09-18 10:58:31:268 400 sec: 1925 operations; 0 current ops/sec; est completion in 27 minutes [READ: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] [UPDATE: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-18 10:58:41:268 410 sec: 1966 operations; 4.1 current ops/sec; est completion in 27 minutes [READ: Count=20, Max=116351, Min=45632, Avg=77776.8, 90=111295, 99=116351, 99.9=116351, 99.99=116351] [UPDATE: Count=21, Max=21610495, Min=89792, Avg=1169148.95, 90=200447, 99=21610495, 99.9=21610495, 99.99=21610495] 
2021-09-18 10:58:51:267 420 sec: 2016 operations; 5 current ops/sec; est completion in 27 minutes [READ: Count=28, Max=157951, Min=47488, Avg=78477.71, 90=91775, 99=157951, 99.9=157951, 99.99=157951] [UPDATE: Count=22, Max=205695, Min=87744, Avg=157728, 90=198399, 99=205695, 99.9=205695, 99.99=205695] 
2021-09-18 10:59:01:267 430 sec: 2099 operations; 8.3 current ops/sec; est completion in 26 minutes [READ: Count=32, Max=168959, Min=45952, Avg=84478, 90=137727, 99=168959, 99.9=168959, 99.99=168959] [UPDATE: Count=51, Max=4517887, Min=51584, Avg=217622.9, 90=187135, 99=203263, 99.9=4517887, 99.99=4517887] 
2021-09-18 10:59:11:268 440 sec: 2136 operations; 3.7 current ops/sec; est completion in 27 minutes [READ: Count=16, Max=159999, Min=46944, Avg=74647, 90=88831, 99=159999, 99.9=159999, 99.99=159999] [UPDATE: Count=21, Max=4108287, Min=81920, Avg=329961.14, 90=201599, 99=4108287, 99.9=4108287, 99.99=4108287] 
2021-09-18 10:59:21:267 450 sec: 2136 operations; 0 current ops/sec; est completion in 27 minutes [READ: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] [UPDATE: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-18 10:59:31:268 460 sec: 2136 operations; 0 current ops/sec; est completion in 28 minutes [READ: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] [UPDATE: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-18 10:59:41:267 470 sec: 2205 operations; 6.9 current ops/sec; est completion in 27 minutes [READ: Count=34, Max=163455, Min=47232, Avg=76692.71, 90=88127, 99=163455, 99.9=163455, 99.99=163455] [UPDATE: Count=35, Max=25051135, Min=85376, Avg=852256, 90=194303, 99=25051135, 99.9=25051135, 99.99=25051135] 
2021-09-18 10:59:51:267 480 sec: 2304 operations; 9.9 current ops/sec; est completion in 26 minutes [READ: Count=62, Max=160895, Min=45888, Avg=81106.84, 90=120831, 99=149503, 99.9=160895, 99.99=160895] [UPDATE: Count=38, Max=195839, Min=47424, Avg=132121.68, 90=183935, 99=195839, 99.9=195839, 99.99=195839] 
2021-09-18 11:00:01:267 490 sec: 2395 operations; 9.1 current ops/sec; est completion in 25 minutes [READ: Count=43, Max=176255, Min=47168, Avg=80958.88, 90=117503, 99=176255, 99.9=176255, 99.99=176255] [UPDATE: Count=47, Max=197887, Min=65856, Avg=130491.91, 90=188031, 99=197887, 99.9=197887, 99.99=197887] 
2021-09-18 11:00:11:267 500 sec: 2395 operations; 0 current ops/sec; est completion in 26 minutes [READ: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] [UPDATE: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-18 11:00:21:267 510 sec: 2399 operations; 0.4 current ops/sec; est completion in 26 minutes [READ: Count=2, Max=148991, Min=76672, Avg=112816, 90=148991, 99=148991, 99.9=148991, 99.99=148991] [UPDATE: Count=2, Max=19955711, Min=180608, Avg=10064096, 90=19955711, 99=19955711, 99.9=19955711, 99.99=19955711] 
2021-09-18 11:00:31:267 520 sec: 2436 operations; 3.7 current ops/sec; est completion in 26 minutes [READ: Count=18, Max=145791, Min=48000, Avg=77233.78, 90=87999, 99=145791, 99.9=145791, 99.99=145791] [UPDATE: Count=19, Max=201471, Min=84032, Avg=145440, 90=195327, 99=201471, 99.9=201471, 99.99=201471] 
